trip_id,arrival_time,departure_time,stop_id,stop_sequence,shape_dist_traveled
NS:WD:0,05:16:00,05:16:00,NS1;EW24;JE5,0,
NS:WD:0,05:19:00,05:19:00,NS2,1,
NS:WD:0,05:21:00,05:21:00,NS3,2,
NS:WD:0,05:24:00,05:24:00,NS4,3,
NS:WD:0,05:26:00,05:26:00,NS5,4,
NS:WD:0,05:31:00,05:31:00,NS7,5,
NS:WD:0,05:33:00,05:33:00,NS8,6,
NS:WD:0,05:35:00,05:35:00,NS9;TE2,7,
NS:WD:0,05:38:00,05:38:00,NS10,8,
NS:WD:0,05:41:00,05:41:00,NS11,9,
NS:WD:0,05:45:00,05:45:00,NS13,10,
NS:WD:0,05:47:00,05:47:00,NS14,11,
NS:WD:0,05:52:00,05:52:00,NS15,12,
NS:WD:0,05:54:00,05:54:00,NS16;CR11,13,
NS:WD:0,05:57:00,05:57:00,NS17;CC15,14,
NS:WD:0,05:59:00,05:59:00,NS18,15,
NS:WD:0,06:00:00,06:00:00,NS19,16,
NS:WD:0,06:03:00,06:03:00,NS20,17,
NS:WD:0,06:05:00,06:05:00,NS21;DT11,18,
NS:WD:0,06:07:00,06:07:00,NS22;TE14,19,
NS:WD:0,06:09:00,06:09:00,NS23,20,
NS:WD:0,06:10:00,06:10:00,NS24;NE6;CC1,21,
NS:WD:0,06:12:00,06:12:00,EW13;NS25,22,
NS:WD:0,06:14:00,06:14:00,EW14;NS26,23,
NS:WD:0,06:16:00,06:16:00,NS27;CE2;TE20,24,
NS:WD:0,06:18:00,06:18:00,NS28,25,
NS:WD:1,06:10:00,06:10:00,NS28,0,
NS:WD:1,06:12:00,06:12:00,NS27;CE2;TE20,1,
NS:WD:1,06:14:00,06:14:00,EW14;NS26,2,
NS:WD:1,06:16:00,06:16:00,EW13;NS25,3,
NS:WD:1,06:18:00,06:18:00,NS24;NE6;CC1,4,
NS:WD:1,06:19:00,06:19:00,NS23,5,
NS:WD:1,06:21:00,06:21:00,NS22;TE14,6,
NS:WD:1,06:23:00,06:23:00,NS21;DT11,7,
NS:WD:1,06:25:00,06:25:00,NS20,8,
NS:WD:1,06:27:00,06:27:00,NS19,9,
NS:WD:1,06:28:00,06:28:00,NS18,10,
NS:WD:1,06:30:00,06:30:00,NS17;CC15,11,
NS:WD:1,06:33:00,06:33:00,NS16;CR11,12,
NS:WD:1,06:35:00,06:35:00,NS15,13,
NS:WD:1,06:40:00,06:40:00,NS14,14,
NS:WD:1,06:42:00,06:42:00,NS13,15,
NS:WD:1,06:46:00,06:46:00,NS11,16,
NS:WD:1,06:49:00,06:49:00,NS10,17,
NS:WD:1,06:52:00,06:52:00,NS9;TE2,18,
NS:WD:1,06:54:00,06:54:00,NS8,19,
NS:WD:1,06:56:00,06:56:00,NS7,20,
NS:WD:1,07:01:00,07:01:00,NS5,21,
NS:WD:1,07:04:00,07:04:00,NS4,22,
NS:WD:1,07:07:00,07:07:00,NS3,23,
NS:WD:1,07:09:00,07:09:00,NS2,24,
NS:WD:1,07:12:00,07:12:00,NS1;EW24;JE5,25,
EW:WD:0,05:28:00,05:28:00,EW1;CR5,0,
EW:WD:0,05:31:00,05:31:00,EW2,1,
EW:WD:0,05:33:00,05:33:00,EW3,2,
EW:WD:0,05:36:00,05:36:00,EW4,3,
EW:WD:0,05:39:00,05:39:00,EW5,4,
EW:WD:0,05:42:00,05:42:00,EW6,5,
EW:WD:0,05:44:00,05:44:00,EW7,6,
EW:WD:0,05:46:00,05:46:00,EW8;CC9,7,
EW:WD:0,05:48:00,05:48:00,EW9,8,
EW:WD:0,05:50:00,05:50:00,EW10,9,
EW:WD:0,05:52:00,05:52:00,EW11,10,
EW:WD:0,05:54:00,05:54:00,EW12;DT14,11,
EW:WD:0,05:57:00,05:57:00,EW13;NS25,12,
EW:WD:0,05:58:00,05:58:00,EW14;NS26,13,
EW:WD:0,06:01:00,06:01:00,EW15,14,
EW:WD:0,06:03:00,06:03:00,NE3;EW16;TE17,15,
EW:WD:0,06:05:00,06:05:00,EW17,16,
EW:WD:0,06:07:00,06:07:00,EW18,17,
EW:WD:0,06:09:00,06:09:00,EW19,18,
EW:WD:0,06:11:00,06:11:00,EW20,19,
EW:WD:0,06:13:00,06:13:00,EW21;CC22,20,
EW:WD:0,06:15:00,06:15:00,EW22,21,
EW:WD:0,06:18:00,06:18:00,EW23,22,
EW:WD:0,06:23:00,06:23:00,NS1;EW24;JE5,23,
EW:WD:0,06:25:00,06:25:00,EW25,24,
EW:WD:0,06:27:00,06:27:00,EW26,25,
EW:WD:0,06:29:00,06:29:00,EW27;JS8,26,
EW:WD:0,06:31:00,06:31:00,EW28,27,
EW:WD:0,06:35:00,06:35:00,EW29,28,
EW:WD:0,06:38:00,06:38:00,EW30,29,
EW:WD:0,06:40:00,06:40:00,EW31,30,
EW:WD:0,06:42:00,06:42:00,EW32,31,
EW:WD:0,06:44:00,06:44:00,EW33,32,
EW:WD:1,05:29:00,05:29:00,EW33,0,
EW:WD:1,05:31:00,05:31:00,EW32,1,
EW:WD:1,05:33:00,05:33:00,EW31,2,
EW:WD:1,05:36:00,05:36:00,EW30,3,
EW:WD:1,05:41:00,05:41:00,EW29,4,
EW:WD:1,05:44:00,05:44:00,EW28,5,
EW:WD:1,05:46:00,05:46:00,EW27;JS8,6,
EW:WD:1,05:48:00,05:48:00,EW26,7,
EW:WD:1,05:50:00,05:50:00,EW25,8,
EW:WD:1,05:53:00,05:53:00,NS1;EW24;JE5,9,
EW:WD:1,05:57:00,05:57:00,EW23,10,
EW:WD:1,05:59:00,05:59:00,EW22,11,
EW:WD:1,06:01:00,06:01:00,EW21;CC22,12,
EW:WD:1,06:03:00,06:03:00,EW20,13,
EW:WD:1,06:04:00,06:04:00,EW19,14,
EW:WD:1,06:06:00,06:06:00,EW18,15,
EW:WD:1,06:08:00,06:08:00,EW17,16,
EW:WD:1,06:11:00,06:11:00,NE3;EW16;TE17,17,
EW:WD:1,06:13:00,06:13:00,EW15,18,
EW:WD:1,06:16:00,06:16:00,EW14;NS26,19,
EW:WD:1,06:18:00,06:18:00,EW13;NS25,20,
EW:WD:1,06:20:00,06:20:00,EW12;DT14,21,
EW:WD:1,06:22:00,06:22:00,EW11,22,
EW:WD:1,06:24:00,06:24:00,EW10,23,
EW:WD:1,06:26:00,06:26:00,EW9,24,
EW:WD:1,06:28:00,06:28:00,EW8;CC9,25,
EW:WD:1,06:30:00,06:30:00,EW7,26,
EW:WD:1,06:32:00,06:32:00,EW6,27,
EW:WD:1,06:35:00,06:35:00,EW5,28,
EW:WD:1,06:37:00,06:37:00,EW4,29,
EW:WD:1,06:40:00,06:40:00,EW3,30,
EW:WD:1,06:42:00,06:42:00,EW2,31,
EW:WD:1,06:45:00,06:45:00,EW1;CR5,32,
CG:WD:0,05:20:00,05:20:00,EW4,0,
CG:WD:0,05:22:00,05:22:00,CG1;DT35,1,
CG:WD:0,05:27:00,05:27:00,CG2,2,
CG:WD:1,05:31:00,05:31:00,CG2,0,
CG:WD:1,05:36:00,05:36:00,CG1;DT35,1,
CG:WD:1,05:38:00,05:38:00,EW4,2,
NE:WD:0,05:50:00,05:50:00,NE1;CC29,0,
NE:WD:0,05:53:00,05:53:00,NE3;EW16;TE17,1,
NE:WD:0,05:55:00,05:55:00,NE4,2,
NE:WD:0,05:56:00,05:56:00,NE5,3,
NE:WD:0,05:58:00,05:58:00,NS24;NE6;CC1,4,
NE:WD:0,05:59:00,05:59:00,NE7;DT12,5,
NE:WD:0,06:01:00,06:01:00,NE8,6,
NE:WD:0,06:03:00,06:03:00,NE9,7,
NE:WD:0,06:05:00,06:05:00,NE10,8,
NE:WD:0,06:07:00,06:07:00,NE11,9,
NE:WD:0,06:09:00,06:09:00,NE12;CC13,10,
NE:WD:0,06:10:00,06:10:00,NE13,11,
NE:WD:0,06:12:00,06:12:00,NE14;CR8,12,
NE:WD:0,06:14:00,06:14:00,NE15,13,
NE:WD:0,06:16:00,06:16:00,NE16,14,
NE:WD:0,06:18:00,06:18:00,NE17;PTC,15,
NE:WD:1,05:42:00,05:42:00,NE17;PTC,0,
NE:WD:1,05:44:00,05:44:00,NE16,1,
NE:WD:1,05:46:00,05:46:00,NE15,2,
NE:WD:1,05:48:00,05:48:00,NE14;CR8,3,
NE:WD:1,05:50:00,05:50:00,NE13,4,
NE:WD:1,05:52:00,05:52:00,NE12;CC13,5,
NE:WD:1,05:54:00,05:54:00,NE11,6,
NE:WD:1,05:55:00,05:55:00,NE10,7,
NE:WD:1,05:57:00,05:57:00,NE9,8,
NE:WD:1,05:58:00,05:58:00,NE8,9,
NE:WD:1,06:00:00,06:00:00,NE7;DT12,10,
NE:WD:1,06:02:00,06:02:00,NS24;NE6;CC1,11,
NE:WD:1,06:04:00,06:04:00,NE5,12,
