stop_id,stop_name,stop_lat,stop_lon
EW9,Aljunied,1.3164515,103.8829087
EW10,Kallang,1.3114481,103.8713388
NS15,Yio Chu Kang,1.3817905,103.8449359
EW8;CC9,Paya Lebar,1.3180497,103.8923182
EW2,Tampines,1.3533737,103.9450844
EW4,Tanah Merah,1.3272541,103.9465046
EW5,Bedok,1.3239765,103.930216
CG2,Changi Airport,1.3573382,103.9885647
CG1;DT35,Expo,1.3352594,103.9620127
EW11,Lavender,1.3074447,103.8630305
EW12;DT14,Bugis,1.3005303,103.8560949
EW17,Tiong Bahru,1.2860952,103.8276424
EW18,Redhill,1.2896482,103.8167677
EW19,Queenstown,1.2946235,103.8060454
EW20,Commonwealth,1.3024428,103.7983085
EW21;CC22,Buona Vista,1.3071902,103.7908483
EW22,Dover,1.3114214,103.7786275
EW23,Clementi,1.3151003,103.7652311
NS1;EW24;JE5,Jurong East,1.333115,103.7422968
EW25,Chinese Garden,1.3423978,103.732544
EW26,Lakeside,1.3442605,103.7207503
EW14;NS26,Raffles Place,1.2843955,103.8514973
NS24;NE6;CC1,Dhoby Ghaut,1.2987212,103.8450244
NE16;STC,Sengkang,1.3913304,103.8952941
NE15,Buangkok,1.3830565,103.89305
NE14;CR8,Hougang,1.3719039,103.8927535
NE13,Kovan,1.3599769,103.8848743
NE17;PTC,Punggol,1.4052551,103.9023538
NE10,Potong Pasir,1.3312544,103.8690932
NE12;CC13,Serangoon,1.35049831450162,103.87324486521683
NE9,Boon Keng,1.3198244,103.8615207
NE8,Farrer Park,1.3127545,103.8543738
NE7;DT12,Little India,1.3065714,103.8492986
NE4,Chinatown,1.2850195,103.8440033
NE1;CC29,HarbourFront,1.2653951,103.8224032
EW27;JS8,Boon Lay,1.3385752,103.7058478
EW28,Pioneer,1.3375884,103.6974104
EW29,Joo Koon,1.327735,103.6782221
CC12,Bartley,1.3424382,103.8804493
CC6,Stadium,1.3028989,103.8754768
CC2,Bras Basah,1.2968963,103.8505497
CC3,Esplanade,1.293258,103.8559742
CC4;DT15,Promenade,1.2927806,103.8610839
CC5,Nicoll Highway,1.2996713,103.8635001
CC7,Mountbatten,1.3062494,103.8824959
CC8,Dakota,1.3083182,103.8883362
CC10;DT26,MacPherson,1.3265672,103.8903059
CC11,Tai Seng,1.334874,103.8881723
CC28,Telok Blangah,1.2705858,103.8098632
CC27,Labrador Park,1.2723277,103.8027822
CC26,Pasir Panjang,1.276177,103.7916138
CC25,Haw Par Villa,1.2826539,103.7817717
CC24,Kent Ridge,1.2933012,103.7844127
CC23,one-north,1.2996073,103.7872407
CC21,Holland Village,1.3121508,103.795744
CC20,Farrer Road,1.3176276,103.8077853
CC17;TE9,Caldecott,1.3376796,103.8399908
DT13,Rochor,1.3039839,103.8526118
EW30,Gul Circle,1.319446944,103.6608911
EW31,Tuas Crescent,1.3211099,103.6489788
EW32,Tuas West Road,1.3300062,103.6396096
EW33,Tuas Link,1.3397375,103.6365746
EW6,Kembangan,1.3210321,103.9129269
CE1;DT16,Bayfront,1.2825724,103.8597242
EW3,Simei,1.3431881,103.953371
NS16;CR11,Ang Mo Kio,1.3700733,103.8495157
NS17;CC15,Bishan,1.3514551,103.8482628
NS2,Bukit Batok,1.3490572,103.7495906
NE3;EW16;TE17,Outram Park,1.2806848,103.8402413
