trip_id,start_time,end_time,headway_secs
118:WD:0,05:00:00,06:30:00,480
118:WD:0,06:30:00,08:30:00,390
118:WD:0,08:30:00,17:00:00,480
118:WD:0,17:00:00,19:00:00,510
118:WD:0,19:00:00,25:00:00,720
118:WD:1,05:00:00,06:30:00,450
118:WD:1,06:30:00,08:30:00,540
118:WD:1,08:30:00,17:00:00,450
118:WD:1,17:00:00,19:00:00,360
118:WD:1,19:00:00,25:00:00,690
118A:WD:0,06:30:00,08:30:00,2160
118B:WD:0,17:00:00,19:00:00,2430
119:WD:0,05:00:00,06:30:00,900
119:WD:0,06:30:00,08:30:00,660
119:WD:0,08:30:00,17:00:00,900
119:WD:0,17:00:00,19:00:00,810
119:WD:0,19:00:00,25:00:00,960
12:WD:0,05:00:00,06:30:00,690
12:WD:0,06:30:00,08:30:00,570
12:WD:0,08:30:00,17:00:00,690
12:WD:0,17:00:00,19:00:00,660
12:WD:0,19:00:00,25:00:00,780
12:WD:1,05:00:00,06:30:00,720
12:WD:1,06:30:00,08:30:00,630
12:WD:1,08:30:00,17:00:00,720
12:WD:1,17:00:00,19:00:00,600
12:WD:1,19:00:00,25:00:00,750
12e:WD:0,05:00:00,06:30:00,1800
12e:WD:0,06:30:00,08:30:00,1800
12e:WD:0,08:30:00,17:00:00,1800
12e:WD:0,17:00:00,19:00:00,1800
12e:WD:1,05:00:00,06:30:00,1800
12e:WD:1,08:30:00,17:00:00,1800
12e:WD:1,17:00:00,19:00:00,1800
12e:WD:1,19:00:00,25:00:00,1800
136:WD:0,05:00:00,06:30:00,690
136:WD:0,06:30:00,08:30:00,660
136:WD:0,08:30:00,17:00:00,690
136:WD:0,17:00:00,19:00:00,750
136:WD:0,19:00:00,25:00:00,1020
136:WD:1,05:00:00,06:30:00,810
136:WD:1,06:30:00,08:30:00,690
136:WD:1,08:30:00,17:00:00,810
136:WD:1,17:00:00,19:00:00,630
136:WD:1,19:00:00,25:00:00,1110
15:WD:0,05:00:00,06:30:00,510
15:WD:0,06:30:00,08:30:00,390
15:WD:0,08:30:00,17:00:00,510
15:WD:0,17:00:00,19:00:00,660
15:WD:0,19:00:00,25:00:00,870
15A:WD:0,06:30:00,08:30:00,780
17:WD:0,05:00:00,06:30:00,660
17:WD:0,06:30:00,08:30:00,570
