route_id,agency_id,route_short_name,route_type
118,GAS,118,3
118A,GAS,118A,3
118B,GAS,118B,3
119,GAS,119,3
12,GAS,12,3
12e,GAS,12e,3
136,GAS,136,3
15,GAS,15,3
15A,GAS,15A,3
17,GAS,17,3
17A,GAS,17A,3
2,GAS,2,3
2B,GAS,2B,3
3,GAS,3,3
34,GAS,34,3
34A,GAS,34A,3
34B,GAS,34B,3
354,GAS,354,3
358,GAS,358,3
359,GAS,359,3
36,GAS,36,3
36A,GAS,36A,3
36B,GAS,36B,3
381,GAS,381,3
382,GAS,382,3
382A,GAS,382A,3
382G,GAS,382G,3
382W,GAS,382W,3
384,GAS,384,3
386,GAS,386,3
386A,GAS,386A,3
3A,GAS,3A,3
403,GAS,403,3
43,GAS,43,3
43e,GAS,43e,3
43M,GAS,43M,3
518,GAS,518,3
518A,GAS,518A,3
6,GAS,6,3
62,GAS,62,3
62A,GAS,62A,3
661,GAS,661,3
666,GAS,666,3
673,GAS,673,3
678,GAS,678,3
68,GAS,68,3
68A,GAS,68A,3
68B,GAS,68B,3
82,GAS,82,3
83,GAS,83,3
83T,GAS,83T,3
84G,GAS,84G,3
84W,GAS,84W,3
85,GAS,85,3
85A,GAS,85A,3
10,SBST,10,3
100,SBST,100,3
100A,SBST,100A,3
101,SBST,101,3
102,SBST,102,3
102A,SBST,102A,3
102B,SBST,102B,3
103,SBST,103,3
105,SBST,105,3
105B,SBST,105B,3
107,SBST,107,3
107M,SBST,107M,3
109,SBST,109,3
109A,SBST,109A,3
10e,SBST,10e,3
11,SBST,11,3
111,SBST,111,3
112,SBST,112,3
112A,SBST,112A,3
112B,SBST,112B,3
113,SBST,113,3
113A,SBST,113A,3
114,SBST,114,3
114A,SBST,114A,3
115,SBST,115,3
116,SBST,116,3
116A,SBST,116A,3
117,SBST,117,3
117A,SBST,117A,3
117M,SBST,117M,3
120,SBST,120,3
121,SBST,121,3
122,SBST,122,3
123,SBST,123,3
123M,SBST,123M,3
124,SBST,124,3
125,SBST,125,3
125A,SBST,125A,3
127,SBST,127,3
127A,SBST,127A,3
129,SBST,129,3
129A,SBST,129A,3
129B,SBST,129B,3
13,SBST,13,3
130,SBST,130,3
131,SBST,131,3
131A,SBST,131A,3
132,SBST,132,3
133,SBST,133,3
134,SBST,134,3
135,SBST,135,3
137,SBST,137,3
137A,SBST,137A,3
138,SBST,138,3
138A,SBST,138A,3
138C,SBST,138C,3
138M,SBST,138M,3
139,SBST,139,3
139A,SBST,139A,3
13A,SBST,13A,3
14,SBST,14,3
140,SBST,140,3
141,SBST,141,3
142,SBST,142,3
142A,SBST,142A,3
145,SBST,145,3
145A,SBST,145A,3
146,SBST,146,3
147,SBST,147,3
147A,SBST,147A,3
148,SBST,148,3
14A,SBST,14A,3
14e,SBST,14e,3
150,SBST,150,3
151,SBST,151,3
153,SBST,153,3
154,SBST,154,3
154A,SBST,154A,3
154B,SBST,154B,3
155,SBST,155,3
156,SBST,156,3
157,SBST,157,3
158,SBST,158,3
158A,SBST,158A,3
159,SBST,159,3
159A,SBST,159A,3
159B,SBST,159B,3
16,SBST,16,3
160,SBST,160,3
160A,SBST,160A,3
161,SBST,161,3
162,SBST,162,3
163,SBST,163,3
163A,SBST,163A,3
163B,SBST,163B,3
165,SBST,165,3
166,SBST,166,3
168,SBST,168,3
168A,SBST,168A,3
16M,SBST,16M,3
170,SBST,170,3
170X,SBST,170X,3
174,SBST,174,3
174e,SBST,174e,3
175,SBST,175,3
18,SBST,18,3
186,SBST,186,3
19,SBST,19,3
191,SBST,191,3
195,SBST,195,3
195A,SBST,195A,3
196,SBST,196,3
196A,SBST,196A,3
196e,SBST,196e,3
197,SBST,197,3
198,SBST,198,3
198A,SBST,198A,3
20,SBST,20,3
200,SBST,200,3
200A,SBST,200A,3
201,SBST,201,3
20A,SBST,20A,3
21,SBST,21,3
21A,SBST,21A,3
21X,SBST,21X,3
22,SBST,22,3
222,SBST,222,3
222A,SBST,222A,3
222B,SBST,222B,3
225G,SBST,225G,3
225W,SBST,225W,3
228,SBST,228,3
229,SBST,229,3
23,SBST,23,3
230,SBST,230,3
230M,SBST,230M,3
231,SBST,231,3
232,SBST,232,3
235,SBST,235,3
238,SBST,238,3
24,SBST,24,3
25,SBST,25,3
26,SBST,26,3
261,SBST,261,3
262,SBST,262,3
265,SBST,265,3
268,SBST,268,3
268A,SBST,268A,3
268B,SBST,268B,3
268C,SBST,268C,3
269,SBST,269,3
269A,SBST,269A,3
27,SBST,27,3
272,SBST,272,3
273,SBST,273,3
27A,SBST,27A,3
28,SBST,28,3
29,SBST,29,3
291,SBST,291,3
292,SBST,292,3
293,SBST,293,3
296,SBST,296,3
298,SBST,298,3
298X,SBST,298X,3
299,SBST,299,3
29A,SBST,29A,3
30,SBST,30,3
30e,SBST,30e,3
31,SBST,31,3
315,SBST,315,3
317,SBST,317,3
31A,SBST,31A,3
32,SBST,32,3
324,SBST,324,3
325,SBST,325,3
329,SBST,329,3
33,SBST,33,3
33A,SBST,33A,3
33B,SBST,33B,3
35,SBST,35,3
35M,SBST,35M,3
37,SBST,37,3
371,SBST,371,3
372,SBST,372,3
374,SBST,374,3
38,SBST,38,3
39,SBST,39,3
39A,SBST,39A,3
39B,SBST,39B,3
4,SBST,4,3
40,SBST,40,3
400,SBST,400,3
401,SBST,401,3
410G,SBST,410G,3
410W,SBST,410W,3
42,SBST,42,3
45,SBST,45,3
45A,SBST,45A,3
46,SBST,46,3
47,SBST,47,3
48,SBST,48,3
5,SBST,5,3
50,SBST,50,3
506,SBST,506,3
50A,SBST,50A,3
51,SBST,51,3
513,SBST,513,3
51A,SBST,51A,3
52,SBST,52,3
53,SBST,53,3
53A,SBST,53A,3
53M,SBST,53M,3
54,SBST,54,3
55,SBST,55,3
