trip_id,shape_id,route_id,service_id,direction_id
118:WD:0,118:0,118,WD,0
118:WD:1,118:1,118,WD,1
118A:WD:0,118A:0,118A,WD,0
118B:WD:0,118B:0,118B,WD,0
119:WD:0,119:0,119,WD,0
12:WD:0,12:0,12,WD,0
12:WD:1,12:1,12,WD,1
12e:WD:0,12e:0,12e,WD,0
12e:WD:1,12e:1,12e,WD,1
136:WD:0,136:0,136,WD,0
136:WD:1,136:1,136,WD,1
15:WD:0,15:0,15,WD,0
15A:WD:0,15A:0,15A,WD,0
17:WD:0,17:0,17,WD,0
17:WD:1,17:1,17,WD,1
17A:WD:0,17A:0,17A,WD,0
2:WD:0,2:0,2,WD,0
2:WD:1,2:1,2,WD,1
2B:WD:0,2B:0,2B,WD,0
3:WD:0,3:0,3,WD,0
3:WD:1,3:1,3,WD,1
34:WD:0,34:0,34,WD,0
34A:WD:0,34A:0,34A,WD,0
34B:WD:0,34B:0,34B,WD,0
354:WD:0,354:0,354,WD,0
358:WD:0,358:0,358,WD,0
359:WD:0,359:0,359,WD,0
36:WD:0,36:0,36,WD,0
36A:WD:0,36A:0,36A,WD,0
36B:WD:0,36B:0,36B,WD,0
381:WD:0,381:0,381,WD,0
382:WD:0,382:0,382,WD,0
382:WD:1,382:1,382,WD,1
382A:WD:0,382A:0,382A,WD,0
382G:WD:0,382G:0,382G,WD,0
382W:WD:0,382W:0,382W,WD,0
384:WD:0,384:0,384,WD,0
386:WD:0,386:0,386,WD,0
386A:WD:0,386A:0,386A,WD,0
3A:WD:0,3A:0,3A,WD,0
403:WD:0,403:0,403,WD,0
43:WD:0,43:0,43,WD,0
43:WD:1,43:1,43,WD,1
43e:WD:0,43e:0,43e,WD,0
43e:WD:1,43e:1,43e,WD,1
43M:WD:0,43M:0,43M,WD,0
518:WD:0,518:0,518,WD,0
518A:WD:0,518A:0,518A,WD,0
6:WD:0,6:0,6,WD,0
62:WD:0,62:0,62,WD,0
62A:WD:0,62A:0,62A,WD,0
661:WD:0,661:0,661,WD,0
661:WD:1,661:1,661,WD,1
666:WD:0,666:0,666,WD,0
666:WD:1,666:1,666,WD,1
673:WD:0,673:0,673,WD,0
673:WD:1,673:1,673,WD,1
678:WD:0,678:0,678,WD,0
678:WD:1,678:1,678,WD,1
68:WD:0,68:0,68,WD,0
68A:WD:0,68A:0,68A,WD,0
68B:WD:0,68B:0,68B,WD,0
82:WD:0,82:0,82,WD,0
83:WD:0,83:0,83,WD,0
83T:WD:0,83T:0,83T,WD,0
84G:WD:0,84G:0,84G,WD,0
84W:WD:0,84W:0,84W,WD,0
85:WD:0,85:0,85,WD,0
85:WD:1,85:1,85,WD,1
85A:WD:0,85A:0,85A,WD,0
10:WD:0,10:0,10,WD,0
10:WD:1,10:1,10,WD,1
100:WD:0,100:0,100,WD,0
